text,label,category
Invest Rs 2 today and get 3x returns guaranteed in 7 days. http://bit.ly/dxamw2,scam,phishing/fraud
Thanks for the update. I will review it shortly.,safe,normal
Selected for internship at Google. Pay 5000 registration fee to proceed.,scam,phishing/fraud
Job Offer: You are selected for Digital Marketing Manager. Salary 100 LPA. Pay Rs. 2000 processing fee to merchant@upi.,scam,phishing/fraud
Your Amazon package will arrive between 2-5 PM today.,safe,normal
"FYI, the new office policy starts Monday.",safe,normal
Get 20% off on your next order. Use code SAVE20 at checkout.,safe,normal
I won a small prize in the office raffle today!,safe,normal
Your Amazon package will arrive between 2-5 PM today.,safe,normal
Special government scheme! Get Rs 50000 deposited directly. Apply: http://short.link/peqydb,scam,phishing/fraud
Invest Rs 50000 today and get 3x returns guaranteed in 7 days. http://bit.ly/7x6oa3,scam,phishing/fraud
Offer Letter! Join our firm as Digital Marketing Manager. Mandatory training kit fee Rs. 5000 via seller@paytm.,scam,phishing/fraud
Hey I found a great deal on phones. Check this link: http://tinyurl.com/8ma102,scam,phishing/fraud
The project deadline is next Friday. Let's plan accordingly.,safe,normal
"Dear winner, your lottery ticket 4619 won first prize. Contact us immediately.",scam,phishing/fraud
Exciting news! You qualify for a special discount. Click to redeem: http://bit.ly/qeg0o0,scam,phishing/fraud
Electricity bill for this month: Rs 100. Due date: 20th.,safe,normal
Could you please share the design files for review?,safe,normal
Special government scheme! Get Rs 10 deposited directly. Apply: http://short.link/lz1xgp,scam,phishing/fraud
Verify your WhatsApp account or it will be deleted: http://short.link/smrwge,scam,phishing/fraud
Could you please share the design files for review?,safe,normal
Thanks for the update. I will review it shortly.,safe,normal
Can you pick up groceries on the way home?,safe,normal
Good morning! Hope you have a productive day.,safe,normal
Your internet bill of Rs. 100 is due on the 15th.,safe,normal
Reminder: Doctor's appointment tomorrow at 3:00 AM.,safe,normal
Loved the movie! We should watch the sequel together.,safe,normal
Amazon Gift: You've won a Samsung phone! Claim before midnight at http://tinyurl.com/dgg5gr,scam,phishing/fraud
"Dear winner, your lottery ticket 8430 won first prize. Contact us immediately.",scam,phishing/fraud
Work from home opportunity. Earn Rs 5K daily. Registration at http://tinyurl.com/gm5v2w,scam,phishing/fraud
I'll be 10 minutes late. Start without me.,safe,normal
Your Uber ride receipt: Rs 10. Trip from MG Road to Indiranagar.,safe,normal
Please find the attached project report for the Digital Marketing Manager position.,safe,normal
Let's catch up this weekend. Are you free?,safe,normal
Send Rs 1 via UPI to user@ybl and get Rs 1000 credited back instantly.,scam,phishing/fraud
Could you please share the design files for review?,safe,normal
Dear customer your SBI account is blocked. Re-activate using http://short.link/pecqnv,scam,phishing/fraud
Invest Rs 50 today and get 3x returns guaranteed in 7 days. http://short.link/zh9ier,scam,phishing/fraud
Good morning! Hope you have a productive day.,safe,normal
"Dear winner, your lottery ticket 6764 won first prize. Contact us immediately.",scam,phishing/fraud
Alert: Someone logged into your email from Russia. Secure your account: http://short.link/npvcub,scam,phishing/fraud
Your Swiggy order has been delivered. Enjoy your meal!,safe,normal
Invest Rs 5 today and get 3x returns guaranteed in 7 days. http://tinyurl.com/991p77,scam,phishing/fraud
Selected for internship at Google. Pay 10 registration fee to proceed.,scam,phishing/fraud
Meeting is scheduled for 12:00 AM. See you there.,safe,normal
Limited seats available for the workshop. Register on the company portal.,safe,normal
Offer Letter! Join our firm as Data Entry Operator. Mandatory training kit fee Rs. 5000 via raj@axisbank.,scam,phishing/fraud
Your WhatsApp is expiring. Update now: http://bit.ly/hy25m8,scam,phishing/fraud
Get 20% off on your next order. Use code SAVE20 at checkout.,safe,normal
HDFC Bank: Complete your pending KYC at http://short.link/r27riu or account will be suspended in 24hrs.,scam,phishing/fraud
Could you please share the design files for review?,safe,normal
Offer Letter! Join our firm as Software Developer. Mandatory training kit fee Rs. 5000 via user@ybl.,scam,phishing/fraud
Update your profile to unlock premium features on LinkedIn.,safe,normal
Hey! Are we still on for dinner at 5:00 AM?,safe,normal
The food was amazing. Thanks for the recommendation!,safe,normal
Happy birthday! Have a great day ahead.,safe,normal
Invest Rs 25 today and get 3x returns guaranteed in 7 days. http://bit.ly/3x1f8s,scam,phishing/fraud
I'll be 10 minutes late. Start without me.,safe,normal
Can you pick up groceries on the way home?,safe,normal
Selected for internship at Google. Pay 10 registration fee to proceed.,scam,phishing/fraud
Your mobile number won Rs 5 in Jio lottery. Contact +915888636774 now.,scam,phishing/fraud
Quick reminder to submit your timesheet by end of day.,safe,normal
I won a small prize in the office raffle today!,safe,normal
Pay Rs. 10000 processing fee to merchant@upi to claim your cashback reward.,scam,phishing/fraud
Quick reminder to submit your timesheet by end of day.,safe,normal
Pay Rs. 10000 processing fee to raj@axisbank to claim your cashback reward.,scam,phishing/fraud
Someone shared a photo of you! Check it out: http://bit.ly/gsx9oa,scam,phishing/fraud
HDFC Bank: Complete your pending KYC at http://short.link/5nsjf6 or account will be suspended in 24hrs.,scam,phishing/fraud
Please find the attached project report for the Digital Marketing Manager position.,safe,normal
Thanks for the update. I will review it shortly.,safe,normal
Your invoice #1246 of Rs 2 has been processed.,safe,normal
URGENT: Your account ending 2887 is frozen. Click http://bit.ly/kgv1bb to verify immediately.,scam,phishing/fraud
Your Swiggy order has been delivered. Enjoy your meal!,safe,normal
